pair_id,galaxy_name,obs_id_1,obs_id_2,filter_1,filter_2,compatibility,baseline_days,pair_score,registration_dx_px,registration_dy_px,registration_residual_px,registration_n_matches,scale_factor_post_to_pre,n_scale_sources,pair_stable_fraction,pair_extreme_fade_fraction,pair_is_stable,n_residual_detections,n_survivors,n_fade_survivors,n_brighten_survivors,obsid_1,obsid_2,product_filename_1,product_filename_2,product_uri_1,product_uri_2,product_path_1,product_path_2,product_priority_1,product_priority_2,image_ext_1,image_ext_2,status,error
MESSIER 101::jw02452-o002_t002_nircam_clear-f200w::jw05398-c1144_t000_nircam_clear-f200w,MESSIER 101,jw02452-o002_t002_nircam_clear-f200w,jw05398-c1144_t000_nircam_clear-f200w,F200W,F200W,exact,851.3008862037022,1.4000000000000001,0.7068751547667489,0.5093812146399159,0.10520263294672516,278.0,0.9423758559721281,296.0,0.91,0.0,True,560,97,97.0,0.0,108742734.0,264006136.0,jw02452-o002_t002_nircam_clear-f200w_i2d.fits,jw05398-c1144_t000_nircam_clear-f200w_i2d.fits,cached://JWST/jw02452-o002_t002_nircam_clear-f200w/jw02452-o002_t002_nircam_clear-f200w_i2d.fits,cached://JWST/jw05398-c1144_t000_nircam_clear-f200w/jw05398-c1144_t000_nircam_clear-f200w_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw02452-o002_t002_nircam_clear-f200w/jw02452-o002_t002_nircam_clear-f200w_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw05398-c1144_t000_nircam_clear-f200w/jw05398-c1144_t000_nircam_clear-f200w_i2d.fits,156.0,156.0,SCI,SCI,SCANNED,
NGC 1365::jw02107-o021_t003_nircam_clear-f200w::jw05398-c1024_t000_nircam_clear-f200w,NGC 1365,jw02107-o021_t003_nircam_clear-f200w,jw05398-c1024_t000_nircam_clear-f200w,F200W,F200W,exact,848.0823681481415,1.4000000000000001,,,,,,,,,,0,0,,,,,,,,,,,,,,,FAILED,Insufficient overlap after WCS reprojection.
NGC 4388::jw02064-o009_t005_miri_f1800w-sub256::jw05627-o021_t027_miri_f1800w,NGC 4388,jw02064-o009_t005_miri_f1800w-sub256,jw05627-o021_t027_miri_f1800w,F1800W,F1800W,exact,723.4868845023157,1.4000000000000001,-0.9716139900571932,0.5155473296737583,0.8610729637613355,20.0,1.0,7.0,0.7333333333333333,0.0,True,55,8,8.0,0.0,150193274.0,279680250.0,jw02064-o009_t005_miri_f1800w-sub256_i2d.fits,jw05627-o021_t027_miri_f1800w_i2d.fits,cached://JWST/jw02064-o009_t005_miri_f1800w-sub256/jw02064-o009_t005_miri_f1800w-sub256_i2d.fits,cached://JWST/jw05627-o021_t027_miri_f1800w/jw05627-o021_t027_miri_f1800w_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw02064-o009_t005_miri_f1800w-sub256/jw02064-o009_t005_miri_f1800w-sub256_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw05627-o021_t027_miri_f1800w/jw05627-o021_t027_miri_f1800w_i2d.fits,156.0,156.0,SCI,SCI,SCANNED,
NGC 4388::jw02064-o009_t005_miri_f1500w-sub256::jw05627-o021_t027_miri_f1500w,NGC 4388,jw02064-o009_t005_miri_f1500w-sub256,jw05627-o021_t027_miri_f1500w,F1500W,F1500W,exact,723.4821755092562,1.4000000000000001,0.029063339554014078,-0.06994809057999873,0.37058552297153324,22.0,1.0,6.0,0.7272727272727273,0.0,True,73,10,10.0,0.0,150189426.0,279680254.0,jw02064-o009_t005_miri_f1500w-sub256_i2d.fits,jw05627-o021_t027_miri_f1500w_i2d.fits,cached://JWST/jw02064-o009_t005_miri_f1500w-sub256/jw02064-o009_t005_miri_f1500w-sub256_i2d.fits,cached://JWST/jw05627-o021_t027_miri_f1500w/jw05627-o021_t027_miri_f1500w_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw02064-o009_t005_miri_f1500w-sub256/jw02064-o009_t005_miri_f1500w-sub256_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw05627-o021_t027_miri_f1500w/jw05627-o021_t027_miri_f1500w_i2d.fits,156.0,156.0,SCI,SCI,SCANNED,
NGC 4388::jw02064-o009_t005_miri_f560w-sub256::jw05627-o021_t027_miri_f560w,NGC 4388,jw02064-o009_t005_miri_f560w-sub256,jw05627-o021_t027_miri_f560w,F560W,F560W,exact,723.4616820486117,1.4000000000000001,0.030130061858585577,-0.0070776964976175805,0.8890870871149124,9.0,1.0,4.0,0.5833333333333334,0.0,False,104,0,0.0,0.0,150191294.0,279680252.0,jw02064-o009_t005_miri_f560w-sub256_i2d.fits,jw05627-o021_t027_miri_f560w_i2d.fits,cached://JWST/jw02064-o009_t005_miri_f560w-sub256/jw02064-o009_t005_miri_f560w-sub256_i2d.fits,cached://JWST/jw05627-o021_t027_miri_f560w/jw05627-o021_t027_miri_f560w_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw02064-o009_t005_miri_f560w-sub256/jw02064-o009_t005_miri_f560w-sub256_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw05627-o021_t027_miri_f560w/jw05627-o021_t027_miri_f560w_i2d.fits,156.0,156.0,SCI,SCI,SCANNED,
MESSIER 066::jw02107-o029_t011_nircam_clear-f335m::jw04793-o011_t011_nircam_clear-f335m,MESSIER 066,jw02107-o029_t011_nircam_clear-f335m,jw04793-o011_t011_nircam_clear-f335m,F335M,F335M,exact,708.0771597106504,1.4000000000000001,-0.4490531416149679,0.022895437621514247,0.12267200350079889,206.0,0.9689999194136723,140.0,0.9163763066202091,0.003484320557491289,True,532,180,180.0,0.0,109508000.0,234389745.0,jw02107-o029_t011_nircam_clear-f335m_i2d.fits,jw04793-o011_t011_nircam_clear-f335m_i2d.fits,cached://JWST/jw02107-o029_t011_nircam_clear-f335m/jw02107-o029_t011_nircam_clear-f335m_i2d.fits,cached://JWST/jw04793-o011_t011_nircam_clear-f335m/jw04793-o011_t011_nircam_clear-f335m_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw02107-o029_t011_nircam_clear-f335m/jw02107-o029_t011_nircam_clear-f335m_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw04793-o011_t011_nircam_clear-f335m/jw04793-o011_t011_nircam_clear-f335m_i2d.fits,156.0,156.0,SCI,SCI,SCANNED,
MESSIER 101::jw01995-o001_t001_nircam_clear-f115w::jw05398-c1144_t000_nircam_clear-f115w,MESSIER 101,jw01995-o001_t001_nircam_clear-f115w,jw05398-c1144_t000_nircam_clear-f115w,F115W,F115W,exact,702.7494574189768,1.4000000000000001,-0.6901800159318157,-0.1355936822538979,0.15034797355713295,227.0,1.0598918939408382,162.0,0.6733333333333333,0.0033333333333333335,True,177,5,5.0,0.0,140287690.0,264005642.0,jw01995-o001_t001_nircam_clear-f115w_i2d.fits,jw05398-c1144_t000_nircam_clear-f115w_i2d.fits,cached://JWST/jw01995-o001_t001_nircam_clear-f115w/jw01995-o001_t001_nircam_clear-f115w_i2d.fits,cached://JWST/jw05398-c1144_t000_nircam_clear-f115w/jw05398-c1144_t000_nircam_clear-f115w_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw01995-o001_t001_nircam_clear-f115w/jw01995-o001_t001_nircam_clear-f115w_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw05398-c1144_t000_nircam_clear-f115w/jw05398-c1144_t000_nircam_clear-f115w_i2d.fits,156.0,156.0,SCI,SCI,SCANNED,
MESSIER 101::jw01995-o001_t001_nircam_clear-f444w::jw05398-c1144_t000_nircam_clear-f444w,MESSIER 101,jw01995-o001_t001_nircam_clear-f444w,jw05398-c1144_t000_nircam_clear-f444w,F444W,F444W,exact,702.7494574189768,1.4000000000000001,-0.34406359733903713,0.07994877340217954,0.11921222211978055,21.0,0.9493020870792932,15.0,0.7142857142857143,0.0,True,10,0,0.0,0.0,140287692.0,264005640.0,jw01995-o001_t001_nircam_clear-f444w_i2d.fits,jw05398-c1144_t000_nircam_clear-f444w_i2d.fits,cached://JWST/jw01995-o001_t001_nircam_clear-f444w/jw01995-o001_t001_nircam_clear-f444w_i2d.fits,cached://JWST/jw05398-c1144_t000_nircam_clear-f444w/jw05398-c1144_t000_nircam_clear-f444w_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw01995-o001_t001_nircam_clear-f444w/jw01995-o001_t001_nircam_clear-f444w_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw05398-c1144_t000_nircam_clear-f444w/jw05398-c1144_t000_nircam_clear-f444w_i2d.fits,156.0,156.0,SCI,SCI,SCANNED,
MESSIER 101::jw03921-o040_t042_miri_f2100w::jw07881-o001_t002_miri_f2100w,MESSIER 101,jw03921-o040_t042_miri_f2100w,jw07881-o001_t002_miri_f2100w,F2100W,F2100W,exact,690.8985160648081,1.4000000000000001,-0.9286545305215554,0.167803882113418,0.10900950552707635,16.0,0.971655207909871,27.0,0.7636363636363637,0.05454545454545454,False,58,0,0.0,0.0,212737555.0,378062978.0,jw03921-o040_t042_miri_f2100w_i2d.fits,jw07881-o001_t002_miri_f2100w_i2d.fits,cached://JWST/jw03921-o040_t042_miri_f2100w/jw03921-o040_t042_miri_f2100w_i2d.fits,cached://JWST/jw07881-o001_t002_miri_f2100w/jw07881-o001_t002_miri_f2100w_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw03921-o040_t042_miri_f2100w/jw03921-o040_t042_miri_f2100w_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw07881-o001_t002_miri_f2100w/jw07881-o001_t002_miri_f2100w_i2d.fits,156.0,156.0,SCI,SCI,SCANNED,
MESSIER 101::jw03921-o040_t042_miri_f1500w::jw07881-o001_t002_miri_f1500w,MESSIER 101,jw03921-o040_t042_miri_f1500w,jw07881-o001_t002_miri_f1500w,F1500W,F1500W,exact,690.8932174768488,1.4000000000000001,-1.3425876940103763,0.38965442303685904,0.10525511283462825,51.0,0.9577711263947951,55.0,0.7933884297520661,0.03305785123966942,False,173,0,0.0,0.0,212737556.0,378062984.0,jw03921-o040_t042_miri_f1500w_i2d.fits,jw07881-o001_t002_miri_f1500w_i2d.fits,cached://JWST/jw03921-o040_t042_miri_f1500w/jw03921-o040_t042_miri_f1500w_i2d.fits,cached://JWST/jw07881-o001_t002_miri_f1500w/jw07881-o001_t002_miri_f1500w_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw03921-o040_t042_miri_f1500w/jw03921-o040_t042_miri_f1500w_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw07881-o001_t002_miri_f1500w/jw07881-o001_t002_miri_f1500w_i2d.fits,156.0,156.0,SCI,SCI,SCANNED,
MESSIER 101::jw03921-o040_t042_miri_f770w::jw07881-o001_t002_miri_f770w,MESSIER 101,jw03921-o040_t042_miri_f770w,jw07881-o001_t002_miri_f770w,F770W,F770W,exact,690.8823923032396,1.4000000000000001,-1.0909696892845204,0.20345697533616658,0.14825122888067455,223.0,0.9674186596676118,113.0,0.9416058394160584,0.010948905109489052,True,498,27,27.0,0.0,212737553.0,378062981.0,jw03921-o040_t042_miri_f770w_i2d.fits,jw07881-o001_t002_miri_f770w_i2d.fits,cached://JWST/jw03921-o040_t042_miri_f770w/jw03921-o040_t042_miri_f770w_i2d.fits,cached://JWST/jw07881-o001_t002_miri_f770w/jw07881-o001_t002_miri_f770w_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw03921-o040_t042_miri_f770w/jw03921-o040_t042_miri_f770w_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw07881-o001_t002_miri_f770w/jw07881-o001_t002_miri_f770w_i2d.fits,156.0,156.0,SCI,SCI,SCANNED,
MESSIER 101::jw03921-o040_t042_miri_f1000w::jw07881-o001_t002_miri_f1000w,MESSIER 101,jw03921-o040_t042_miri_f1000w,jw07881-o001_t002_miri_f1000w,F1000W,F1000W,exact,690.8817182291677,1.4000000000000001,-1.3087301669303315,0.28303239021403215,0.11447848427927144,163.0,0.9533630053751652,138.0,0.7307692307692307,0.038461538461538464,False,262,0,0.0,0.0,212737554.0,378062980.0,jw03921-o040_t042_miri_f1000w_i2d.fits,jw07881-o001_t002_miri_f1000w_i2d.fits,cached://JWST/jw03921-o040_t042_miri_f1000w/jw03921-o040_t042_miri_f1000w_i2d.fits,cached://JWST/jw07881-o001_t002_miri_f1000w/jw07881-o001_t002_miri_f1000w_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw03921-o040_t042_miri_f1000w/jw03921-o040_t042_miri_f1000w_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw07881-o001_t002_miri_f1000w/jw07881-o001_t002_miri_f1000w_i2d.fits,156.0,156.0,SCI,SCI,SCANNED,
NGC 3521::jw03707-o045_t026_miri_f770w::jw09258-o010_t002_miri_f770w,NGC 3521,jw03707-o045_t026_miri_f770w,jw09258-o010_t002_miri_f770w,F770W,F770W,exact,607.1694012615771,1.4000000000000001,-0.08750777959994593,-0.020319683171692304,0.44433569179533927,117.0,0.32021411495009705,17.0,0.08823529411764706,0.4264705882352941,False,44,0,0.0,0.0,214109317.0,369260805.0,jw03707-o045_t026_miri_f770w_i2d.fits,jw09258-o010_t002_miri_f770w_i2d.fits,cached://JWST/jw03707-o045_t026_miri_f770w/jw03707-o045_t026_miri_f770w_i2d.fits,cached://JWST/jw09258-o010_t002_miri_f770w/jw09258-o010_t002_miri_f770w_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw03707-o045_t026_miri_f770w/jw03707-o045_t026_miri_f770w_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw09258-o010_t002_miri_f770w/jw09258-o010_t002_miri_f770w_i2d.fits,156.0,156.0,SCI,SCI,SCANNED,
MESSIER 101::jw03429-o003_t001_miri_f2100w::jw07881-o001_t002_miri_f2100w,MESSIER 101,jw03429-o003_t001_miri_f2100w,jw07881-o001_t002_miri_f2100w,F2100W,F2100W,exact,602.878193518518,1.4000000000000001,,,,,,,,,,0,0,,,,,,,,,,,,,,,FAILED,Insufficient overlap after WCS reprojection.
NGC 3521::jw03707-o045_t026_miri_f770w::jw09258-o006_t002_miri_f770w,NGC 3521,jw03707-o045_t026_miri_f770w,jw09258-o006_t002_miri_f770w,F770W,F770W,exact,586.5659998958363,1.4000000000000001,-0.03651575002709251,0.013522831687282633,0.4987035752554001,92.0,1.0,7.0,0.02112676056338028,0.44366197183098594,False,176,0,0.0,0.0,214109317.0,368594675.0,jw03707-o045_t026_miri_f770w_i2d.fits,jw09258-o006_t002_miri_f770w_i2d.fits,cached://JWST/jw03707-o045_t026_miri_f770w/jw03707-o045_t026_miri_f770w_i2d.fits,cached://JWST/jw09258-o006_t002_miri_f770w/jw09258-o006_t002_miri_f770w_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw03707-o045_t026_miri_f770w/jw03707-o045_t026_miri_f770w_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw09258-o006_t002_miri_f770w/jw09258-o006_t002_miri_f770w_i2d.fits,156.0,156.0,SCI,SCI,SCANNED,
NGC 4388::jw02064-o009_t005_miri_f560w-sub256::jw05627-o022_t007_miri_f560w-sub128,NGC 4388,jw02064-o009_t005_miri_f560w-sub256,jw05627-o022_t007_miri_f560w-sub128,F560W,F560W,exact,562.2201320370368,1.4000000000000001,0.0,0.0,,0.0,1.0,1.0,0.07142857142857142,0.07142857142857142,False,2,0,0.0,0.0,150191294.0,236577230.0,jw02064-o009_t005_miri_f560w-sub256_i2d.fits,jw05627-o022_t007_miri_f560w-sub128_i2d.fits,cached://JWST/jw02064-o009_t005_miri_f560w-sub256/jw02064-o009_t005_miri_f560w-sub256_i2d.fits,cached://JWST/jw05627-o022_t007_miri_f560w-sub128/jw05627-o022_t007_miri_f560w-sub128_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw02064-o009_t005_miri_f560w-sub256/jw02064-o009_t005_miri_f560w-sub256_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw05627-o022_t007_miri_f560w-sub128/jw05627-o022_t007_miri_f560w-sub128_i2d.fits,156.0,156.0,SCI,SCI,SCANNED,
NGC 4388::jw02064-o009_t005_miri_f1500w-sub256::jw05627-o022_t007_miri_f1500w-sub128,NGC 4388,jw02064-o009_t005_miri_f1500w-sub256,jw05627-o022_t007_miri_f1500w-sub128,F1500W,F1500W,exact,562.2177727777744,1.4000000000000001,-1.981756997136884,-2.8091304507372,0.407361063551108,8.0,1.0,1.0,0.6818181818181818,0.0,True,9,0,0.0,0.0,150189426.0,236577233.0,jw02064-o009_t005_miri_f1500w-sub256_i2d.fits,jw05627-o022_t007_miri_f1500w-sub128_i2d.fits,cached://JWST/jw02064-o009_t005_miri_f1500w-sub256/jw02064-o009_t005_miri_f1500w-sub256_i2d.fits,cached://JWST/jw05627-o022_t007_miri_f1500w-sub128/jw05627-o022_t007_miri_f1500w-sub128_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw02064-o009_t005_miri_f1500w-sub256/jw02064-o009_t005_miri_f1500w-sub256_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw05627-o022_t007_miri_f1500w-sub128/jw05627-o022_t007_miri_f1500w-sub128_i2d.fits,156.0,156.0,SCI,SCI,SCANNED,
NGC 4388::jw02064-o009_t005_miri_f1800w-sub256::jw05627-o022_t007_miri_f1800w-sub128,NGC 4388,jw02064-o009_t005_miri_f1800w-sub256,jw05627-o022_t007_miri_f1800w-sub128,F1800W,F1800W,exact,562.2139468518508,1.4000000000000001,-2.528659462575405,-2.047229327965212,0.4396868922575745,6.0,1.0,1.0,0.7,0.0,True,11,0,0.0,0.0,150193274.0,236577228.0,jw02064-o009_t005_miri_f1800w-sub256_i2d.fits,jw05627-o022_t007_miri_f1800w-sub128_i2d.fits,cached://JWST/jw02064-o009_t005_miri_f1800w-sub256/jw02064-o009_t005_miri_f1800w-sub256_i2d.fits,cached://JWST/jw05627-o022_t007_miri_f1800w-sub128/jw05627-o022_t007_miri_f1800w-sub128_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw02064-o009_t005_miri_f1800w-sub256/jw02064-o009_t005_miri_f1800w-sub256_i2d.fits,/home/primary/SUPERNOVA/data/cache/mast_products/JWST/jw05627-o022_t007_miri_f1800w-sub128/jw05627-o022_t007_miri_f1800w-sub128_i2d.fits,156.0,156.0,SCI,SCI,SCANNED,
